Step,DQN_v0,DQN_v1,DQN_v2,Mean,CI_lower,CI_upper
2688,,3.240087271,1.313803434,2.2769453525000003,1.442839983629318,3.111050721370683
2712,,3.212480307,,3.212480307,,
2728,,,1.479627013,1.479627013,,
2736,,,1.478099823,1.478099823,,
2744,,2.69886899,,2.69886899,,
2767,-4.183701038,,,-4.183701038,,
2768,,2.306878567,,2.306878567,,
2776,,,1.565942883,1.565942883,,
2808,,1.994783998,0.959912539,1.4773482685,1.0292357819272664,1.9254607550727334
2824,,,1.019352436,1.019352436,,
2832,,1.206544995,,1.206544995,,
2856,,0.805546701,,0.805546701,,
2864,,,0.620856702,0.620856702,,
2880,,-0.121555559,0.844665051,0.361554746,-0.0568310509600487,0.7799405429600487
2912,,,0.504390597,0.504390597,,
2920,,-0.945450664,,-0.945450664,,
2936,,-0.436440915,0.544719398,0.05413924150000002,-0.37071563662154605,0.47899411962154603
2968,,-0.411434859,,-0.411434859,,
2992,,,0.622991383,0.622991383,,
3001,-2.389170647,,,-2.389170647,,
3008,,,1.060488701,1.060488701,,
3016,,0.050957888,,0.050957888,,
3032,,0.968622506,,0.968622506,,
3040,,,1.082598209,1.082598209,,
3064,,0.088580623,,0.088580623,,
3080,,,2.044591188,2.044591188,,
3088,,-0.799112618,,-0.799112618,,
3112,,,2.524239063,2.524239063,,
3136,,-0.320122421,,-0.320122421,,
3144,,0.660362601,,0.660362601,,
3152,,,3.565364122,3.565364122,,
3176,,0.191147164,3.355566978,1.7733570710000002,0.40312309741858443,3.1435910445814157
3184,-4.205421448,,,-4.205421448,,
3192,,-0.085604466,,-0.085604466,,
3200,,,2.909303427,2.909303427,,
3224,,-0.911930084,1.965352178,0.526711047,-0.7191887193751778,1.772610813375178
3256,,,1.960007668,1.960007668,,
3264,,-0.861549675,,-0.861549675,,
3280,,-0.771643877,,-0.771643877,,
3304,,,3.404416561,3.404416561,,
3312,,-1.221652508,,-1.221652508,,
3320,,,3.424376249,3.424376249,,
3328,,-1.159930468,,-1.159930468,,
3339,-4.904980183,,,-4.904980183,,
3352,,,3.045134068,3.045134068,,
3360,,,3.512341261,3.512341261,,
3368,,-1.72838366,,-1.72838366,,
3392,,-2.155654907,,-2.155654907,,
3408,,-2.619229317,,-2.619229317,,
3432,,,4.668523788,4.668523788,,
3440,,-2.658511877,4.232483864,0.7869859934999999,-2.196902691038189,3.7708746780381883
3472,,-2.212733269,,-2.212733269,,
3480,,,4.188661098,4.188661098,,
3488,,-1.843943477,,-1.843943477,,
3499,-5.317029476,,,-5.317029476,,
3512,,,5.105099678,5.105099678,,
3528,,-2.545119524,5.05595541,1.255417943,-2.035944051456566,4.546779937456566
3552,,-1.587524295,,-1.587524295,,
3560,,,5.612539768,5.612539768,,
3592,,-1.169307232,5.629408836,2.230050802,-0.7138796120027284,5.173981216002728
3600,,-1.323405981,,-1.323405981,,
3608,,,4.722426891,4.722426891,,
3640,,,4.56603384,4.56603384,,
3648,,-0.90683943,,-0.90683943,,
3651,-6.993565559,,,-6.993565559,,
3656,,,4.125026703,4.125026703,,
3672,,0.04410392,,0.04410392,,
3688,,,3.654624939,3.654624939,,
3696,,-0.397432506,,-0.397432506,,
3728,,,2.719529629,2.719529629,,
3744,,,2.73370862,2.73370862,,
3752,,-0.348413974,,-0.348413974,,
3768,,0.115283899,2.27657485,1.1959293745,0.26006294023228493,2.131795808767715
3808,,1.003593922,1.778484106,1.391039014,1.0555017217564007,1.7265763062435993
3832,,0.065854959,1.788735867,0.927295413,0.18126609598839905,1.673324730011601
3856,,0.117570587,,0.117570587,,
3864,,,1.887501121,1.887501121,,
3867,-8.901361465,,,-8.901361465,,
3880,,,0.696431994,0.696431994,,
3888,,0.605074584,,0.605074584,,
3904,,0.66212368,,0.66212368,,
3928,,,0.309119284,0.309119284,,
3936,,0.677372098,,0.677372098,,
3960,,,1.317571282,1.317571282,,
3968,,0.722986877,,0.722986877,,
3976,,,1.337551594,1.337551594,,
3992,,0.67239517,,0.67239517,,
4000,,,0.786150455,0.786150455,,
4024,,1.086924314,,1.086924314,,
4048,,1.087798357,-0.11418774,0.48680530850000003,-0.03366993899885373,1.0072805559988538
4072,,,0.667261422,0.667261422,,
4074,-6.520732403,,,-6.520732403,,
4088,,1.163650036,,1.163650036,,
4104,,,1.121590614,1.121590614,,
4112,,1.605883002,,1.605883002,,
4136,,,1.548544049,1.548544049,,
4152,,2.530094147,,2.530094147,,
4176,,3.573924065,0.949384451,2.261654258,1.1251952685186966,3.3981132474813034
4200,,3.200940847,1.985079885,2.593010366,2.0665271257191065,3.119493606280894
4232,,,1.068593264,1.068593264,,
4240,,2.329273939,,2.329273939,,
4256,,2.90519309,1.21091938,2.058056235,1.3244141980879447,2.7916982719120553
4271,-5.85667038,,,-5.85667038,,
4288,,2.41322422,0.308670342,1.360947281,0.449648720009471,2.272245841990529
4312,,,0.308786154,0.308786154,,
4320,,2.370109797,,2.370109797,,
4344,,,1.24564743,1.24564743,,
4360,,2.982789993,,2.982789993,,
4368,,3.480302095,1.748705149,2.614503622,1.864700149824224,3.364307094175776
4408,,,1.818086028,1.818086028,,
4416,,2.125098228,,2.125098228,,
4440,,,2.244576454,2.244576454,,
4448,,3.524138689,,3.524138689,,
4455,-4.626210213,,,-4.626210213,,
4472,,,3.198059797,3.198059797,,
4480,,,2.566135883,2.566135883,,
4488,,3.433153152,,3.433153152,,
4504,,2.964035988,,2.964035988,,
4512,,,2.56234026,2.56234026,,
4536,,,1.607491732,1.607491732,,
4544,,2.541472435,,2.541472435,,
4552,,,1.414616704,1.414616704,,
4568,,3.513510466,,3.513510466,,
4584,,,0.857861221,0.857861221,,
4608,,3.009545326,1.254674435,2.1321098805,1.3722284945160828,2.8919912664839167
4624,,3.969979286,,3.969979286,,
4640,,,1.252008319,1.252008319,,
4652,-1.392477751,,,-1.392477751,,
4664,,3.454924345,,3.454924345,,
4672,,,1.224653602,1.224653602,,
4688,,4.000751972,,4.000751972,,
4696,,,1.67098999,1.67098999,,
4712,,,1.617325783,1.617325783,,
4728,,3.981687784,,3.981687784,,
4752,,4.975383282,,4.975383282,,
4760,,,1.618166327,1.618166327,,
4776,,4.086610794,,4.086610794,,
4784,,,1.680980086,1.680980086,,
4800,,3.626038074,1.219950914,2.422994494,1.3811281918602223,3.464860796139778
4816,-3.668712139,3.618227959,,-0.025242090000000106,-3.1805797103617373,3.1300955303617366
4848,,2.654627562,0.295511603,1.4750695825,0.45354240701635473,2.496596757983645
4872,,,0.309168756,0.309168756,,
4896,,2.682867289,-0.220343366,1.2312619615,-0.025865128383830926,2.488389051383831
4920,,3.115119457,,3.115119457,,
4928,,,-0.17000553,-0.17000553,,
4936,,3.058302879,,3.058302879,,
4968,,3.091701031,,3.091701031,,
4976,,,1.146518588,1.146518588,,
4990,-2.690685034,,,-2.690685034,,
5000,,2.437199116,2.002991676,2.220095396,2.0320780592238963,2.408112732776104
5016,,,1.4177953,1.4177953,,
5024,,2.51685524,,2.51685524,,
5048,,1.588845372,,1.588845372,,
5064,,,0.921014428,0.921014428,,
5080,,,0.806559741,0.806559741,,
5088,,1.566623569,,1.566623569,,
5112,,,2.16024518,2.16024518,,
5120,,1.971441627,,1.971441627,,
5144,,,2.277756929,2.277756929,,
5152,,2.853673697,,2.853673697,,
5155,-1.618330479,,,-1.618330479,,
5168,,1.86124146,,1.86124146,,
5176,,,2.271767139,2.271767139,,
5192,,1.438769341,,1.438769341,,
5208,,,2.458160639,2.458160639,,
5232,,-0.209342897,,-0.209342897,,
5232,,-0.209342897,,-0.209342897,,
