Step,Value
112,-12.62064266
176,-9.108529091
224,-14.96598816
264,-9.626177788
296,-10.91333771
344,-9.970032692
376,-8.777634621
416,-9.708687782
448,-8.347603798
488,-9.544735909
536,-9.959666252
560,-9.320126534
608,-11.48563004
672,-10.40297031
720,-10.49206543
752,-10.27031803
824,-10.01937866
872,-8.79758358
936,-10.36145687
992,-10.97275448
1032,-11.02465057
1080,-11.23370552
1128,-10.03831863
1168,-9.473296165
1192,-9.406200409
1216,-9.372506142
1248,-9.451827049
1288,-8.57895565
1336,-7.862277508
1352,-7.757225037
1384,-7.39679575
1416,-7.493833542
1424,-7.394921303
1480,-8.147251129
1512,-6.510177612
1552,-5.423309803
1584,-4.471203327
1616,-2.730123997
1640,-2.947401524
1672,-2.626190186
1712,-2.0046525
1784,-2.208280563
1800,-0.260492057
1848,0.953876436
1872,1.736771107
1896,2.219038248
1944,2.245303631
1968,2.540050983
2000,2.238857269
2032,3.013711929
2056,3.513118982
2096,4.485349178
2128,4.178777695
2168,4.757590771
2184,5.313579559
2224,4.91910553
2256,5.248925209
2264,6.18312788
2304,4.815013885
2344,4.488070011
2384,4.465693951
2400,4.433686733
2440,4.373453617
2448,4.400752068
2488,4.234177113
2512,3.653108597
2544,3.730085135
2560,3.604840279
2600,3.168171406
2624,3.172488928
2656,3.206844568
2688,3.240087271
2712,3.212480307
2744,2.69886899
2768,2.306878567
2808,1.994783998
2832,1.206544995
2856,0.805546701
2880,-0.121555559
2920,-0.945450664
2936,-0.436440915
2968,-0.411434859
3016,0.050957888
3032,0.968622506
3064,0.088580623
3088,-0.799112618
3136,-0.320122421
3144,0.660362601
3176,0.191147164
3192,-0.085604466
3224,-0.911930084
3264,-0.861549675
3280,-0.771643877
3312,-1.221652508
3328,-1.159930468
3368,-1.72838366
3392,-2.155654907
3408,-2.619229317
3440,-2.658511877
3472,-2.212733269
3488,-1.843943477
3528,-2.545119524
3552,-1.587524295
3592,-1.169307232
3600,-1.323405981
3648,-0.90683943
3672,0.04410392
3696,-0.397432506
3752,-0.348413974
3768,0.115283899
3808,1.003593922
3832,0.065854959
3856,0.117570587
3888,0.605074584
3904,0.66212368
3936,0.677372098
3968,0.722986877
3992,0.67239517
4024,1.086924314
4048,1.087798357
4088,1.163650036
4112,1.605883002
4152,2.530094147
4176,3.573924065
4200,3.200940847
4240,2.329273939
4256,2.90519309
4288,2.41322422
4320,2.370109797
4360,2.982789993
4368,3.480302095
4416,2.125098228
4448,3.524138689
4488,3.433153152
4504,2.964035988
4544,2.541472435
4568,3.513510466
4608,3.009545326
4624,3.969979286
4664,3.454924345
4688,4.000751972
4728,3.981687784
4752,4.975383282
4776,4.086610794
4800,3.626038074
4816,3.618227959
4848,2.654627562
4896,2.682867289
4920,3.115119457
4936,3.058302879
4968,3.091701031
5000,2.437199116
5024,2.51685524
5048,1.588845372
5088,1.566623569
5120,1.971441627
5152,2.853673697
5168,1.86124146
5192,1.438769341
5232,-0.209342897
5232,-0.209342897
5272,-1.203359723
5312,-0.732134819
5352,-0.324777454
5352,-0.324777454
5392,-1.012078762
5400,-1.498537421
5440,-2.912503958
5472,-1.539690256
5488,-1.592884779
5520,-0.678532958
5560,-0.175876513
5592,-0.188424334
5608,-0.624885619
5640,-0.218666315
5664,-0.188631535
5696,-0.106586948
5712,-1.081472397
5744,-1.022111177
5784,-0.541864216
5824,-0.02868339
5848,-0.467622161
5864,0.03393143
5904,-0.423077047
5944,0.824819982
5968,1.51321435
6000,2.396164894
6024,1.452382684
6064,1.945933461
6080,2.392983913
6112,2.999301434
6128,2.357957125
6160,3.734408379
6200,2.74103713
6240,4.185293674
6256,4.673318386
6280,3.793720961
6320,3.742330313
6352,2.811434507
6368,3.317461729
6408,4.056886673
6416,4.17266798
6464,4.051038265
6488,4.96364975
6520,4.50357914
6568,3.237452507
6576,4.17936182
6616,4.204589844
6656,5.173573017
6680,4.282888412
6712,4.422286034
6744,4.507401943
6768,5.481182098
6816,5.578801632
6848,6.050711155
6888,6.554607868
6912,7.694421291
6944,7.27086401
6960,7.78780508
7016,6.949193478
7040,7.346698761
7064,6.897770405
7096,6.910266399
7120,7.833506584
7160,7.363760471
7184,7.568021297
7216,7.116342545
7240,7.610172272
7256,6.650076389
7288,6.169987679
7320,6.137526989
7336,4.70354414
7376,3.753861666
7392,3.253656626
7432,2.740960121
7448,2.765969753
7480,2.259926558
7512,2.263088703
7536,1.729468346
7568,0.821715057
7608,-0.097152032
7624,0.348378181
7672,0.341355383
7696,1.281375766
7728,0.804214299
7752,-0.565544009
7776,0.359542221
7808,-0.153035626
7840,-0.670827568
7872,-0.198778287
7896,-0.210566744
7928,-0.285486251
7936,-0.752234161
7968,-0.767821789
7984,-1.201856852
8016,-1.748050213
8048,-1.287350059
8072,0.088101082
8120,0.620010257
8152,1.577417016
8160,1.096008182
8216,1.141774535
8232,1.698040247
8264,1.189854145
8296,1.214719296
8360,1.163069367
8392,2.058250904
8432,1.559721231
8456,2.467846394
8480,2.899634838
8512,2.423895121
8528,2.451188326
8568,2.042080402
8592,1.599873781
8624,1.542446017
8648,2.052057028
8688,2.087743282
8728,4.45935297
8736,4.433805943
8784,4.868140697
8808,5.397641182
8832,4.464437962
8864,3.981473684
8912,3.479601383
8936,4.372274399
8960,4.813242435
8984,3.372833252
9008,3.408706427
9064,3.862240314
9080,4.325222492
9112,3.885993719
9144,3.396561861
9160,3.425092459
9192,2.431818485
9224,2.889101505
9240,2.404639482
9272,2.869992495
9304,3.177769423
9320,2.715494871
9360,2.320008755
9392,2.443789244
9408,3.345435858
9448,1.899441957
9464,1.004889011
9512,1.139577985
9528,1.597249985
9552,1.084972858
9584,0.138353333
9616,0.143770367
9656,-0.197029784
9696,0.191046685
9720,0.17465423
9744,-0.782820702
9776,-1.205736876
9800,-2.094746113
9824,-2.044869423
9848,-3.089263916
9896,-2.584457397
9912,-2.543988466
9968,-1.544278622
9984,-0.975946665
10024,0.105081633
10064,0.978996098
10080,1.873746276
10120,1.32934165
10160,1.827093244
10200,2.761876106
10224,3.275031328
10256,3.639564037
10272,3.199564219
10304,3.051823378
10336,3.939572573
10368,3.51413846
10392,4.384243965
10424,3.928902864
10440,3.975352287
10472,3.959665537
10496,3.416477442
10520,3.82041049
10544,4.227016449
10568,3.763258934
10616,4.28317976
10632,4.646193027
10648,4.616410732
10696,3.132812262
10712,3.503150463
10760,2.106346607
10776,2.588163853
10808,2.098924398
10840,1.575251698
10856,1.606432319
10888,0.209049404
10928,0.115798444
10968,0.553571939
10984,1.060269594
11008,1.163453102
11032,0.286408484
11056,0.238807485
11080,-1.179579854
11128,-1.51827383
11152,-1.45523417
11168,-0.989347816
11200,0.04065337
11232,-0.926213324
11256,-0.02412731
11280,-0.00224286
11296,-0.465001076
11336,-0.847109854
11352,-1.718680978
11384,-1.203123927
11408,-2.654765129
11432,-2.268525124
11464,-3.38549614
11496,-3.825497389
11512,-2.399473906
11544,-2.909028292
11584,-2.848967075
11592,-2.789306402
11632,-4.289365768
11664,-3.369836569
11696,-3.316996336
11720,-2.364483595
11752,-2.884409666
11776,-1.920693517
11800,-1.584980488
11832,-2.089294434
11856,-1.607726574
11888,-1.711243153
11912,-1.218501568
11944,-2.328605175
11968,-1.360724211
12032,-0.375160992
12040,-0.587123394
12080,-0.648305774
12104,-0.592239857
12120,-0.04469455
12144,-0.438457698
12184,-0.425523579
12216,-0.850760818
12232,-1.454277873
12248,-1.894995332
12272,-2.453909397
12320,-1.871127844
12352,-1.437238455
12376,-1.912590384
12400,-2.357879162
12440,-1.346570134
12464,-1.729465246
12504,-1.754609108
12528,-0.85810858
12544,-0.914046943
12584,-1.791217208
12608,-1.341968536
12656,-2.101184368
12696,-1.594447494
12712,-1.612282634
12744,-1.886964798
12776,-0.924475372
12792,-1.071276903
12816,-1.590007186
12856,-1.004321694
12888,-0.057835001
12904,-0.126718193
12944,-0.065621689
12968,0.846630037
13008,1.355962634
13064,1.334180236
13104,1.816851974
13112,1.798660517
13152,1.320720673
13176,0.804068983
13224,1.779106975
13248,2.222889423
13272,1.876869321
13312,2.89200902
13352,4.273225307
13392,5.174135208
13424,5.470349789
13448,5.917368889
13472,6.323048115
13512,6.763532162
13536,5.406075001
13560,6.017103672
13584,6.517748356
13632,6.973070145
13664,7.401322365
13688,7.920881748
13720,7.954777718
13736,7.471875668
13776,7.524474621
13800,6.167409897
13840,6.687380791
13864,7.155080795
13904,7.199651718
13944,8.122265816
13960,8.189496994
13992,7.255089283
14032,6.761885643
14072,8.092276573
14104,8.576745033
14136,7.726029396
14176,7.770206928
14192,7.939759254
14224,7.036361694
14248,6.565070152
14272,5.630675793
14304,6.015799999
14344,6.496057034
14368,6.478029251
14392,5.9975667
14416,4.580868721
14440,4.553116322
14472,3.625802517
14504,4.087252617
14520,4.00712204
14560,4.022144318
14576,3.008888721
