Wall time,Step,Value
1740499006,1536,25.29338455
1740502897,3072,24.8741169
1740506927,4608,25.81669235
1740510547,6144,22.89811707
1740514286,7680,25.16714668
1740518133,9216,25.03832245
1740521781,10752,30.91965675
1740525515,12288,30.93084908
1740529021,13824,30.17070007
1740532748,15360,30.13429451
1740536540,16896,28.71972084
1740538582,18432,30.93676567
1740540312,19968,32.23007202
1740542213,21504,30.88289642
1740543980,23040,28.76334953
1740546161,24576,29.24964333
1740549532,26112,33.51476669
1740552684,27648,32.22251129
1740554457,29184,31.72390366
1740556055,30720,30.90881538
1740557731,32256,34.07955551
1740559618,33792,32.53412247
1740561046,35328,33.54045105
1740562683,36864,31.53073311
1740564181,38400,35.7665329
1740565864,39936,33.78813171
1740567547,41472,34.48857117
1740569443,43008,35.02474213
1740572052,44544,31.67134666
1740573919,46080,33.21599197
1740575799,47616,29.83372307
1740577711,49152,37.36555862
1740579531,50688,33.98339844
1740582076,52224,34.40671158
1740586211,53760,34.37458801
1740589773,55296,36.34307861
1740593187,56832,35.54081345
1740597068,58368,34.4713707
1740600863,59904,36.27281189
1740604667,61440,33.45108795
1740608197,62976,36.28255844
1740612254,64512,34.95673752
1740616562,66048,35.74092484
1740620663,67584,34.69266129
1740625279,69120,29.09613991
1740628161,70656,33.60852432
1740630546,72192,31.86857224
1740632873,73728,29.80986023
1740635242,75264,29.08507347
1740637631,76800,31.5222702
1740640269,78336,29.50053024
1740642692,79872,27.95480156
1740645260,81408,28.63407898
1740647866,82944,25.67185211
1740650447,84480,23.66027451
1740655166,86016,23.90179634
1740660464,87552,23.30115128
1740663773,89088,21.80073166
1740666621,90624,19.75281334
1740671912,92160,20.47100258
1740677036,93696,20.33621788
1740682187,95232,19.79479218
1740687228,96768,20.03339195
1740692381,98304,19.77113342
1740697578,99840,18.91726494
1740702805,101376,18.40742302
