Wall time,Step,Value
1745303230.205552,229,-6.362889766693115
1745303251.2376006,468,-14.933601379394531
1745303269.461062,677,-13.861406326293945
1745303290.2224765,928,-12.250654220581055
1745303306.734344,1117,-12.223098754882812
1745303322.1576426,1310,-11.741486549377441
1745303343.9270499,1565,-7.319516181945801
1745303361.3081303,1768,-6.3296589851379395
1745303378.2590528,1968,-5.5851664543151855
1745303393.1061394,2151,-4.202189922332764
1745303409.017725,2341,-4.704752445220947
1745303427.4899461,2557,-5.085029602050781
1745303445.6729405,2767,-4.183701038360596
1745303467.0131302,3001,-2.3891706466674805
1745303483.6482167,3184,-4.205421447753906
1745303498.7840185,3339,-4.904980182647705
1745303513.5826235,3499,-5.3170294761657715
1745303527.0052242,3651,-6.993565559387207
1745303545.613618,3867,-8.901361465454102
1745303566.618701,4074,-6.520732402801514
1745303589.9601872,4271,-5.856670379638672
1745303609.4893012,4455,-4.6262102127075195
1745303629.9821525,4652,-1.3924777507781982
1745303647.3203888,4816,-3.6687121391296387
1745303661.3609266,4990,-2.6906850337982178
1745303675.7394633,5155,-1.618330478668213
1745303693.5686886,5338,-1.5886778831481934
1745303710.8924854,5492,-2.935147285461426
1745303727.7361584,5667,-0.4522237181663513
1745303743.9914703,5840,0.037052638828754425
1745303760.533578,6031,1.0334088802337646
1745303775.5139337,6201,1.3331596851348877
1745303791.0917025,6357,1.0211220979690552
1745303803.988196,6505,0.625339686870575
1745303820.197521,6690,-0.823064386844635
1745303833.8883,6842,-2.9751667976379395
1745303850.5681763,7020,-2.5030288696289062
1745303863.7234776,7166,-2.4349920749664307
1745303876.7753248,7313,-2.4343812465667725
1745303892.5639517,7486,-2.6500086784362793
1745303904.643674,7617,-2.459862232208252
1745303920.4621246,7779,-4.402651309967041
1745303937.7209578,7958,-6.0901689529418945
1745303954.4781976,8140,-6.41930627822876
1745303967.4681816,8292,-6.126904010772705
1745303983.0794032,8456,-7.123305797576904
1745303999.5613086,8640,-6.342940330505371
1745304013.7028058,8794,-4.302016735076904
1745304028.008064,8950,-3.850285291671753
1745304046.6674259,9147,-4.739281177520752
1745304067.0961373,9357,-1.209614634513855
1745304083.399319,9519,-2.1986844539642334
1745304097.995509,9679,-2.4297776222229004
1745304115.120108,9863,-2.2815568447113037
1745304130.3682141,10024,-2.408627986907959
1745304147.0855796,10200,-3.332314968109131
1745304165.0933769,10389,-0.9043776988983154
1745304181.300363,10556,-1.0012071132659912
