Step,Value
800,-11.25253677
1600,-3.319868326
2400,-1.427319527
3200,-0.160824999
4000,-0.459152818
4800,-2.563863993
5600,-3.894195795
6400,-2.741084337
7200,3.459385157
8000,1.577071667
8800,1.77292347
9600,3.355922937
10400,2.539055109
11200,2.436703682
12000,1.046439052
12800,1.43270123
13600,-0.752665102
14400,1.093333364
15200,0.572721362
16000,2.873876572
16800,2.823558331
17600,-0.377830982
18400,-1.788256288
19200,2.497479439
20000,0.998642147
20800,4.014079094
21600,6.69093132
22400,2.762085199
23200,-0.419179916
24000,-1.724999189
24800,0.492738426
25600,2.135159731
26400,2.228224277
27200,0.891356826
28000,-2.085762262
28800,-0.497591227
29600,3.180517197
30400,4.196552277
