Step,Value
229,-6.362889767
468,-14.93360138
677,-13.86140633
928,-12.25065422
1117,-12.22309875
1310,-11.74148655
1565,-7.319516182
1768,-6.329658985
1968,-5.585166454
2151,-4.202189922
2341,-4.704752445
2557,-5.085029602
2767,-4.183701038
3001,-2.389170647
3184,-4.205421448
3339,-4.904980183
3499,-5.317029476
3651,-6.993565559
3867,-8.901361465
4074,-6.520732403
4271,-5.85667038
4455,-4.626210213
4652,-1.392477751
4816,-3.668712139
4990,-2.690685034
5155,-1.618330479
5338,-1.588677883
5492,-2.935147285
5667,-0.452223718
5840,0.037052639
6031,1.03340888
6201,1.333159685
6357,1.021122098
6505,0.625339687
6690,-0.823064387
6842,-2.975166798
7020,-2.50302887
7166,-2.434992075
7313,-2.434381247
7486,-2.650008678
7617,-2.459862232
7779,-4.40265131
7958,-6.090168953
8140,-6.419306278
8292,-6.126904011
8456,-7.123305798
8640,-6.342940331
8794,-4.302016735
8950,-3.850285292
9147,-4.739281178
9357,-1.209614635
9519,-2.198684454
9679,-2.429777622
9863,-2.281556845
10024,-2.408627987
10200,-3.332314968
10389,-0.904377699
10556,-1.001207113
10723,-1.240735173
10924,-0.572566926
11082,-2.300542355
11241,-6.106229305
11430,-3.822831631
11601,-2.387655973
11780,0.358719081
11930,2.152671814
12084,2.832967997
12262,1.574754715
12462,2.073661327
12616,-0.304688036
12792,-1.167934418
12948,1.023548961
13099,-1.254194856
13293,-3.20129776
13450,-3.753022432
13626,-3.416696548
13803,-3.266060591
13966,-1.964475036
14175,-0.41277203
14340,1.158429742
14505,-1.616223693
14692,-1.473096371
14873,-1.098782659
15040,-1.480506182
15220,-1.360713243
15397,1.068124413
15559,-0.23787871
15718,-0.66929698
15876,-3.46906805
16053,-3.767362595
16209,-3.999401331
16402,-3.328177214
16558,-3.158229351
16708,-1.176339507
16878,-2.15502882
17061,-0.04926312
17213,-0.629984319
17376,-0.819284856
17535,0.79998064
17697,1.629161954
17864,-0.979393721
18041,0.179777145
18218,1.500086427
18366,-0.762831926
18522,-1.829295516
18692,0.190299153
18838,-2.423301935
19017,-2.275931597
19172,-1.165098667
19331,0.169655517
19486,-0.02940646
19652,1.406754732
19783,-2.485262632
19918,-3.038875103
20065,-3.845070362
20249,-4.882508278
20415,-4.172650814
20587,-0.725845456
20747,-0.372105867
20931,0.590249717
21138,1.742895961
21339,0.689276755
21519,-0.522848606
21693,-0.064086221
21877,-1.058522463
22037,-1.793890476
22234,-1.235225081
22410,-1.282885432
22602,-2.580378294
22764,-2.602989435
22944,-3.807202101
23127,-2.989251852
23300,-1.056179166
23469,0.84081018
23651,0.888031602
23810,1.247748613
23984,0.810357451
24148,-0.062816113
24309,-0.377006024
24503,0.45356223
24768,-0.215905085
24957,1.210562706
25142,-2.225616455
25348,-2.402088642
25513,-4.950158596
25697,-3.871404171
25891,-6.559096336
26048,-4.943380356
26228,-5.074390411
26437,-3.323056698
26632,-2.42518115
26793,-2.544910908
26974,-0.54194051
27162,-2.165789127
27319,-2.703102827
27490,-2.092134237
27630,-2.95247364
27822,-3.954019308
28001,-1.435896397
28149,-1.684640646
28313,-3.181622982
28491,-1.413922191
28667,-0.484010398
28818,-1.270867825
29011,-0.971671522
29166,-0.713782489
29323,-0.952614725
29482,-2.246938229
29645,-2.052723408
29823,0.794649601
29983,0.535004914
30138,-0.115723163
30298,0.541202247
30444,-1.964304805
30609,-5.520493031
30766,-6.809121609
30963,-6.216896534
31182,-5.617062092
31353,-3.959252596
31552,-2.723738194
31737,-1.494879365
31955,-3.302758932
32140,-4.72197628
32357,-4.858221531
32556,-4.6223526
32774,-4.720506668
32958,-2.523121119
33136,-3.985467434
33310,-3.671056986
33511,-3.223651409
33711,-3.000968933
33875,-3.045818806
34071,-2.138320684
34249,-3.827370644
34427,-7.827507496
34581,-9.061923027
34767,-10.19017315
34937,-9.69243145
35132,-9.035784721
35282,-7.608823776
35485,-6.645918369
35665,-4.638025284
35854,-2.883573055
35996,-2.7718575
36151,-1.366393328
36354,-0.42102319
36535,-2.645131826
36679,-4.345684052
36844,-4.823367119
37027,-6.828141212
37178,-7.777403355
