Step,Value
1536,25.29338455
3072,24.8741169
4608,25.81669235
6144,22.89811707
7680,25.16714668
9216,25.03832245
10752,30.91965675
12288,30.93084908
13824,30.17070007
15360,30.13429451
16896,28.71972084
18432,30.93676567
19968,32.23007202
21504,30.88289642
23040,28.76334953
24576,29.24964333
26112,33.51476669
27648,32.22251129
29184,31.72390366
30720,30.90881538
32256,34.07955551
33792,32.53412247
35328,33.54045105
36864,31.53073311
38400,35.7665329
39936,33.78813171
41472,34.48857117
43008,35.02474213
44544,31.67134666
46080,33.21599197
47616,29.83372307
49152,37.36555862
50688,33.98339844
52224,34.40671158
53760,34.37458801
55296,36.34307861
56832,35.54081345
58368,34.4713707
59904,36.27281189
61440,33.45108795
62976,36.28255844
64512,34.95673752
66048,35.74092484
67584,34.69266129
69120,29.09613991
70656,33.60852432
72192,31.86857224
73728,29.80986023
75264,29.08507347
76800,31.5222702
78336,29.50053024
79872,27.95480156
81408,28.63407898
82944,25.67185211
84480,23.66027451
86016,23.90179634
87552,23.30115128
89088,21.80073166
90624,19.75281334
92160,20.47100258
93696,20.33621788
95232,19.79479218
96768,20.03339195
98304,19.77113342
99840,18.91726494
101376,18.40742302
