Step,A2C_v0,A2C_v1,A2C_v2,Mean,CI_lower,CI_upper
24800,1.853085399,-2.199333191,2.867558241,0.8404368163333332,-0.8012970300811867,2.482170662747853
25600,3.071598768,0.5870803,6.848672867,3.5024506449999997,1.5716693549149552,5.433231935085044
26400,3.919101,0.536564946,2.586681843,2.347449263,1.3040213109497814,3.390877215050219
27200,0.932097077,3.060216665,1.053480864,1.681931535333333,0.9500411926422779,2.4138218780243883
28000,2.570126772,6.427018166,2.006183863,3.6677762670000003,2.1943148074534626,5.141237726546538
28800,1.948960662,2.622665644,3.719358683,2.763661663,2.2164572235235713,3.310866102476429
29600,-0.319865078,0.898432434,1.352686882,0.6437514126666667,0.11412737206256596,1.1733754532707674
30400,4.344891548,0.089802846,2.04872942,2.1611412713333333,0.8569285370019819,3.4653540056646848
31200,4.317051888,1.851855636,,3.084453762,2.0169924722269066,4.151915051773093
32000,5.688682556,1.484083772,,3.586383164,1.7657384841674184,5.407027843832582
32800,0.611661613,4.785943508,,2.6988025605,0.8912854786862747,4.506319642313725
33600,2.051403284,5.135545254,,3.593474269,2.2580016215511067,4.9289469164488935
34400,2.977629662,0.220138595,,1.5988841285,0.4048554711346699,2.79291278586533
35200,2.969162464,2.69533205,,2.832247257,2.713675209573595,2.950819304426405
36000,4.936752319,0.88581115,,2.9112817345,1.157172753704883,4.665390715295118
36800,6.265007019,1.55496335,,3.9099851845,1.8704764493559662,5.949493919644034
37600,-1.771218777,5.970314026,,2.0995476244999995,-1.2526344113142795,5.451729660314278
38400,-0.06975925,3.053539991,,1.4918903705,0.13946212733667052,2.8443186136633294
39200,0.258629084,3.865927458,,2.062278271,0.5002722555428487,3.6242842864571507
40000,0.900803149,2.282460213,,1.591631681,0.9933566226288885,2.1899067393711116
40800,1.43454206,5.860934734,,3.647738397,1.7310541455953325,5.564422648404667
41600,3.504853725,2.209570646,,2.8572121855,2.2963381597469366,3.4180862112530632
42400,3.622218609,2.933292866,,3.2777557374999997,2.9794421401204647,3.5760693348795347
43200,0.544167757,0.743798614,,0.6439831855,0.5575404887293707,0.7304258822706293
44000,-0.218678623,0.501631498,,0.1414764375,-0.17042699419452173,0.4533798691945217
44800,1.286855102,-1.172071218,,0.057391942000000085,-1.007354387577093,1.122138271577093
45600,2.925420523,4.113901138,,3.5196608305000003,3.005033628252323,4.0342880327476776
46400,2.35024333,6.222947598,,4.286595464,2.609665325283789,5.963525602716212
47200,2.948327065,1.007858872,,1.9780929685,1.1378455933131564,2.8183403436868435
48000,3.014069557,-2.181565285,,0.416252136,-1.8335237449797763,2.6660280169797765
48800,-1.192659855,3.787027597,,1.2971838709999999,-0.859084047169304,3.4534517891693035
49600,1.103272438,1.396362305,,1.2498173715,1.1229057362930988,1.3767290067069013
50400,1.757653356,1.248980045,,1.5033167005,1.2830546957234286,1.7235787052765716
51200,3.926617146,-0.348476142,,1.789070502,-0.06209919347817361,3.6402401974781737
52000,5.996398926,3.355302334,,4.67585063,3.5322222587397465,5.8194790012602535
52800,3.621787071,1.381296873,,2.501541972,1.5313812578009856,3.4717026861990146
53600,2.352991581,-1.144841194,,0.6040751934999999,-0.9105308271699109,2.1186812141699107
54400,4.839360237,0.129999682,,2.4846799595,0.44546702139480665,4.523892897605194
55200,0.122078903,-1.510956764,,-0.6944389304999999,-1.4015641169540332,0.012686255954033276
56000,4.158781528,1.846018553,,3.0024000404999995,2.0009442958589614,4.003855785141038
56800,4.041710377,4.507740021,,4.274725199000001,4.072928443689691,4.47652195431031
57600,-2.63953042,4.047814369,,0.7041419745000002,-2.191563261069746,3.5998472100697465
58400,0.268136144,1.830731034,,1.049433589,0.372810153718124,1.726057024281876
59200,5.070569038,2.311475754,,3.691022396,2.4962999583224823,4.885744833677518
60000,3.242480993,1.21379137,,2.2281361815,1.3496878065440614,3.106584556455939
60800,0.301278055,-0.748441935,,-0.22358194,-0.678124029100174,0.23096014910017396
61600,1.987667322,1.289516926,,1.638592124,1.336284134700917,1.9409001132990833
62400,-0.373827517,3.150206566,,1.3881895245,-0.13776199534010125,2.9141410443401012
63200,4.498282909,3.477747202,,3.9880150555,3.5461101316344434,4.429919979365557
64000,2.54813385,3.465524197,,3.0068290235,2.609587350655689,3.404070696344311
64800,2.258517265,4.137380123,,3.197948694,2.384377211372482,4.011520176627518
65600,5.270030022,1.49703598,,3.383533001,1.7497786566503326,5.017287345349668
66400,0.445235163,2.542511463,,1.493873313,0.5857260357224824,2.4020205902775174
67200,1.542352438,-0.333615899,,0.6043682695,-0.2079498487686242,1.4166863877686242
68000,6.142026901,1.538131595,,3.8400792480000003,1.8465341023200326,5.833624393679968
68800,5.228572369,1.991105556,,3.6098389625,2.207974710516476,5.011703214483524
69600,-1.454366446,-0.06328667,,-0.7588265580000001,-1.361181770353384,-0.15647134564661613
70400,7.044645309,-1.34743607,,2.8486046194999997,-0.7852732129201763,6.482482451920175
71200,1.180958509,-0.342907071,,0.4190257190000001,-0.24082743311635468,1.0788788711163548
72000,-1.878720999,2.223696232,,0.1724876165,-1.603911152984509,1.948886385984509
72800,2.840521812,-0.393929124,,1.223296344,-0.17726199493517925,2.623854682935179
73600,7.48239851,3.894846916,,5.688622713,4.1351673041043195,7.2420781218956805
74400,5.722742558,-0.382718384,,2.670012087,0.02626994820716222,5.313754225792838
75200,0.199711233,-2.109703541,,-0.954996154,-1.95500208507955,0.045009777079549895
76000,-0.412157506,-0.13413316,,-0.273145333,-0.3935334062532774,-0.1527572597467226
76800,2.764955044,0.821143985,,1.7930495145,0.9513546358744329,2.634744393125567
77600,0.248015091,1.580918312,,0.9144667015000001,0.3373026764139474,1.491630726586053
78400,2.138297558,-3.419532776,,-0.640617609,-3.0472287385838785,1.7659935205838786
79200,0.059089579,1.848409891,,0.9537497349999999,0.17895131215025017,1.7285481578497497
80000,4.188506126,0.524851859,,2.3566789925,0.7702701595473698,3.94308782545263
80800,-1.892923117,0.694745898,,-0.5990886095000001,-1.7195821612879292,0.521404942287929
81600,-0.585359335,2.057280302,,0.7359604835,-0.40833604584484506,1.880257012844845
82400,-0.750695407,5.104571342,,2.1769379675,-0.3584669077841638,4.712342842784164
83200,0.151786551,-1.366616964,,-0.6074152065,-1.2649032150927937,0.050072802092793633
84000,1.989008188,4.769660473,,3.3793343305,2.175276571549375,4.583392089450625
84800,1.717728376,0.235957503,,0.9768429395,0.3352173301970768,1.6184685488029231
85600,0.83155036,2.512145996,,1.671848178,0.9441289208673666,2.3995674351326337
86400,5.247811317,0.480150312,,2.8639808145,0.7995230410187744,4.928438587981226
87200,1.652462959,1.550585151,,1.601524055,1.5574096700950633,1.6456384399049369
88000,7.467576981,-0.09987624,,3.6838503704999996,0.4070470048318082,6.960653736168191
88800,-4.61463356,1.031186342,,-1.791723609,-4.236435339161887,0.6529881211618873
89600,-0.12263383,0.078892127,,-0.021870851499999996,-0.1091341506419853,0.0653924476419853
90400,1.761561036,-0.593044817,,0.5842581095,-0.4353161327987646,1.6038323517987645
91200,4.666903496,4.139489651,,4.4031965735,4.174819679461185,4.631573467538814
92000,0.691812336,3.344575644,,2.01819399,0.8695137825223771,3.1668741974776227
92800,3.494920254,4.245812416,,3.870366335,3.5452204911026897,4.19551217889731
93600,2.148813963,1.868714452,,2.0087642075,1.8874775614432007,2.1300508535567997
94400,-0.724231541,3.763390064,,1.5195792615000001,-0.4236178947509499,3.46277641775095
95200,-0.845315278,-1.898313999,,-1.3718146385,-1.8277764597692618,-0.9158528172307384
96000,3.550252676,2.964545727,,3.2573992015,3.0037806529964617,3.5110177500035387
96800,3.415925264,4.900829315,,4.158377289500001,3.515394974325788,4.801359604674213
97600,2.946454763,-0.119339347,,1.4135577080000001,0.08602991698364693,2.7410854990163536
98400,1.928507328,0.511594474,,1.220050901,0.6065096377436437,1.8335921642563564
99200,-1.963058352,3.86392045,,0.9504310490000001,-1.5727247859227096,3.4735868839227098
100000,0.937350035,6.149138451,,3.5432442429999997,1.2864736592972679,5.800014826702732
