Step,Value
6400,2.877691507
6440,1.43941164
6464,1.551646233
6504,1.118456602
6536,2.14768672
6568,2.083144426
6592,2.540101767
6624,2.567895174
6648,2.588395119
6672,2.538838863
6696,2.07915926
6744,1.186935067
6760,1.146409631
6800,2.051334858
6824,1.605440497
6864,2.147653818
6896,3.064514399
6920,2.110738754
6944,2.123804569
6976,1.687534332
7016,2.045090199
7032,2.902129889
7056,1.955209136
7104,1.5423702
7136,2.860115528
7168,2.995907545
7200,3.480363607
7216,3.851253748
7256,3.347291231
7296,3.389412165
7296,3.389412165
7336,2.455373287
7376,2.37871027
7392,2.344282627
7424,2.81708765
7464,3.768514872
7504,5.141379833
7544,5.192860603
7552,5.700881958
7592,6.08730793
7624,6.036363602
7640,5.147292614
7680,5.585738182
7712,5.218578339
7736,4.777829647
7760,4.845145702
7784,3.998156548
7808,3.990994215
7840,3.931711435
7872,3.041755199
7904,2.615873814
7928,2.591351748
7968,1.764431477
7984,2.213261843
8016,2.144192696
8048,2.09796977
8064,2.135166645
8096,1.71914804
8112,1.704474449
8144,1.203418493
8176,0.204847664
8216,-0.259284019
8232,0.201053992
8264,-0.742156208
8304,-0.757509768
8312,-1.191280842
8344,-1.259713769
8368,-1.654353738
8432,-1.859452367
8448,-1.923725724
8488,-1.924257755
8496,-1.910813689
8536,-1.90074718
8560,-1.829947114
8600,-1.818367004
8632,-1.429164529
8648,-1.019209504
8688,-0.993584394
8720,0.08250232
8752,0.205155045
8776,0.201538473
8800,0.222644165
8832,-0.186104476
8864,1.228757501
8888,1.280661702
8928,0.286222875
8960,0.778787374
8984,0.343322724
9008,0.355027378
9048,1.245962024
9072,1.755732894
9104,1.752930045
9136,2.373911619
9160,2.917516947
9208,3.870360851
9232,4.335811138
9256,4.725141048
9280,4.19308424
9320,4.57834959
9352,5.510551453
9368,4.547869205
9400,4.642771721
9440,4.114309788
9464,3.605736256
9504,3.696514606
9528,3.264586926
9552,3.707952261
9584,3.662555456
9608,3.626926184
9656,4.547089577
9688,4.930697918
9712,4.02996254
9744,4.413867474
9768,4.92527771
9800,4.470181465
9824,3.521168232
9856,3.976800442
9880,3.882801771
9904,2.931870937
9928,1.98191011
9976,1.945602894
9992,2.31313777
10032,1.872487068
10056,2.797703505
10080,1.857800484
10120,2.815362215
10136,2.875360489
10184,2.460999012
10200,2.90255475
10232,2.674963951
10280,2.686392546
10296,3.254233599
