Step,Value
200,-16.86853027
400,-18.96442604
600,-12.79782009
800,-9.621880531
1000,-7.052288055
1200,-0.515066981
1400,1.325406194
1600,1.654231429
1800,0.287333041
2000,-1.980359435
2200,-1.112792492
2400,-2.369996309
2600,-1.388216496
2800,-0.064073741
3000,-0.625074267
3200,1.310212135
3400,2.217656851
3600,1.048052192
3800,3.577419043
4000,3.909642458
4200,0.70166713
4400,0.668025255
4600,1.830602646
4800,0.424863368
5000,0.494772494
5200,-2.144821167
5400,-1.443454742
5600,-1.526119232
5800,1.386674881
6000,2.298703909
6200,0.29921335
6400,0.876322925
6600,-0.302124321
6800,-1.055648327
7000,-1.465153694
7200,-0.380598158
7400,0.786510348
7600,1.339891195
7800,1.050677896
8000,0.777762771
8200,0.701964796
8400,1.324310184
8600,-0.00679471
8800,-2.204605579
9000,-4.563987732
9200,-7.063907146
9400,-3.180164337
9600,0.580083311
9800,2.612841368
10000,3.63633585
10200,1.142528772
10400,-0.565778911
10600,-3.073029757
10800,-0.394064844
11000,0.633061886
11200,2.706718683
11400,6.960496902
11600,5.775426865
11800,5.052681923
12000,5.417822361
12200,1.003682375
12400,-0.176330999
12600,-1.756502509
12800,-0.45583871
13000,2.184756517
13200,0.11413087
13400,0.796546042
13600,-1.939690709
13800,-0.886096358
14000,1.495534539
14200,0.28286472
14400,1.283033729
14600,-0.909906507
14800,-1.284536719
15000,-0.816086054
15200,0.00940892
15400,0.415032685
15600,1.049940109
15800,0.970432341
16000,2.287546396
16200,2.685378313
16400,2.519068956
16600,2.22858882
16800,1.249887824
17000,1.170574665
17200,1.98861742
17400,0.294692546
17600,2.017647028
17800,3.137548923
18000,2.118314028
18200,1.972680807
18400,-2.324173212
18600,-1.889148831
18800,-2.431276321
19000,-0.939685643
19200,0.131996527
19400,-0.571844518
19600,2.200695515
19800,2.04125762
20000,0.167655453
20200,-1.095002532
20400,-1.225213408
20600,-0.00016529
20800,2.157862425
21000,3.364773989
21200,1.135095239
21400,-0.722743511
21600,-0.522534788
21800,1.099644661
22000,3.350682259
22200,2.533055544
22400,2.632374763
22600,3.55054903
22800,2.493546486
23000,0.685214639
23200,0.75338316
23400,-0.782816589
23600,-0.167164326
23800,-0.159458265
24000,-2.356821775
24200,0.883104742
24400,0.798825562
24600,1.446857095
24800,2.452839136
25000,1.57260406
25200,5.834534645
25400,4.769340038
25600,4.291459084
25800,3.869652987
26000,3.02586937
26200,3.146709681
26400,2.209205627
26600,4.398298264
26800,2.533748865
27000,1.586146235
27200,3.042864084
27400,1.497193217
27600,2.737716436
27800,4.146980286
28000,6.12600708
28200,5.170807362
28400,3.418013334
28600,2.969394207
28800,0.211257175
29000,-0.353367597
29200,0.992023885
29400,2.937268972
29600,4.311591148
29800,3.578794003
30000,2.965368271
30200,-1.06861186
30400,-0.655104399
30600,-1.049067497
30800,-1.30746913
31000,-0.535228491
31200,-0.070301883
31400,-2.695164919
31600,-1.966463566
31800,-0.394898891
32000,1.469365001
32200,1.426442027
32400,0.885316551
32600,0.875087798
32800,0.060447861
33000,0.95380789
33200,0.428224266
33400,0.429819167
33600,1.209626675
33800,3.524506092
34000,5.741364002
34200,2.940751076
34400,-0.191254258
34600,-3.359768629
34800,-1.289848566
35000,0.65308857
35200,-0.055704478
35400,-0.091863357
35600,-0.493169338
35800,-0.058679931
36000,1.370527864
36200,3.246484041
36400,4.227506161
36600,5.675533772
36800,5.774279118
37000,3.202613831
37200,6.546007633
37400,5.377534866
37600,2.354425907
37800,4.802972794
38000,2.373563766
38200,3.336939096
38400,2.830236197
38600,1.730056047
38800,3.515376329
39000,6.056707382
39200,5.620919704
39400,2.232278585
39600,0.953920245
39800,-0.457865477
40000,0.210104495
40200,0.717954636
40400,0.43942073
40600,-0.420634717
40800,0.592040956
41000,1.871695995
41200,1.923431396
41400,3.863775015
41600,0.718782842
41800,0.688697398
42000,-0.46889469
42200,-0.33349961
42400,2.545819044
42600,3.662000656
42800,2.719396591
43000,2.608279705
43200,1.79688406
43400,-0.471212059
43600,0.871804237
43800,3.297448397
44000,3.803798676
44200,6.278712273
44400,4.854477406
44600,6.661279678
44800,6.792595863
45000,4.821775436
45200,3.848780155
45400,1.577223539
45600,0.935563505
45800,1.50852561
46000,0.155376717
46200,-0.290815264
46400,-0.188558757
46600,1.185864329
46800,2.909374237
47000,3.884992361
47200,3.689967155
47400,2.012379169
47600,0.04959631
47800,0.542037189
48000,1.581775784
48200,2.595750332
48400,0.56232965
48600,1.405316472
48800,0.552110672
49000,1.428165674
49200,3.488912582
49400,5.887390614
49600,6.315820694
49800,1.640475869
50000,2.159578323
50200,2.424468756
50400,3.694075346
50600,5.825347424
50800,4.142771244
51000,3.148433924
51200,1.874814391
51400,0.118658692
51600,-0.371492535
51800,0.893751919
52000,1.792669773
52200,2.880380154
52400,2.626241446
52600,0.306612879
52800,-0.107143767
53000,-1.303356528
53200,3.468377352
53400,1.028725982
53600,3.406199694
53800,2.798089027
54000,3.169812918
54200,3.229759693
54400,3.136286974
54600,3.892254829
54800,1.336652398
55000,0.777129292
55200,1.207537174
55400,0.852749527
55600,2.68276453
55800,3.434233189
56000,2.262659073
56200,0.736722529
56400,-0.823421359
56600,-0.500776291
56800,-0.574644685
57000,1.7086761
57200,2.823056221
57400,3.060789824
57600,2.720117807
57800,2.574670076
58000,2.701874495
58200,1.249716997
58400,3.811640263
58600,2.928085089
58800,1.931459427
59000,2.821187258
59200,2.842559814
59400,3.653486252
59600,4.175493717
59800,5.282818317
60000,2.198320866
60200,1.890449405
60400,2.111883879
60600,0.924765229
60800,1.890380502
61000,1.083914518
61200,-1.066164851
61400,1.058350325
61600,3.126823902
61800,2.582045317
62000,0.140367433
62200,-1.692052603
62400,-1.332821965
62600,-1.185721278
62800,1.612504005
63000,3.043438911
63200,4.235879421
63400,4.740609646
63600,3.148434401
63800,5.574106216
64000,4.466901302
64200,4.768723965
64400,5.191943169
64600,3.399422169
64800,1.016574264
65000,-0.140315026
65200,-0.584385693
65400,-1.194447398
65600,-1.153436303
65800,-2.134901047
66000,-1.830396175
66200,0.090273812
66400,0.737557411
66600,1.745857835
66800,3.962918282
67000,5.100700378
67200,3.581290722
67400,2.556940317
67600,1.052574277
67800,1.717090964
68000,2.355531693
68200,3.648572206
68400,2.765680075
68600,1.781755447
68800,-1.4337219
69000,-0.50074482
69200,1.82315135
69400,5.070719242
69600,5.713269234
69800,1.991393924
70000,-1.655853629
70200,-3.153254032
70400,-3.437278032
70600,-1.024179339
70800,0.093175851
71000,0.610243201
71200,1.623436093
71400,3.162013054
71600,0.561578035
71800,2.869760752
72000,2.652217388
72200,3.148562431
72400,3.090540648
72600,1.686555266
72800,1.329201102
73000,1.913876057
73200,3.922790766
73400,2.844727755
73600,0.904265761
73800,1.727066159
74000,3.607928276
74200,5.228234291
74400,6.934427261
74600,5.454699039
74800,2.809872627
75000,1.26046896
75200,-2.108328819
75400,1.945893526
75600,1.027095199
75800,0.831982434
76000,1.775725842
76200,-1.290566087
76400,3.790515661
76600,1.581891894
76800,3.438446999
77000,2.97868681
77200,2.453086615
77400,4.739404678
77600,6.24866581
77800,3.881973028
78000,2.627897501
78200,-0.438450128
78400,-0.444036931
78600,-1.083783507
78800,-2.505260229
79000,-2.558140993
79200,0.421664417
79400,4.872514725
79600,4.417752266
79800,3.843947172
80000,1.167990923
80200,0.287552327
80400,0.606426299
80600,0.634880483
80800,0.254996002
81000,-0.37230593
81200,-0.110219568
81400,1.499312758
81600,-0.141512364
81800,1.216603994
82000,0.292915016
82200,0.88882345
82400,2.153584719
82600,2.650574446
82800,3.717262268
83000,4.136037827
83200,3.584933043
83400,4.004689217
83600,3.204518318
83800,3.689593315
84000,1.948236704
84200,0.134863526
84400,-0.683563292
84600,-0.634775639
84800,0.241660893
85000,0.976976812
85200,1.939561248
85400,2.061765432
85600,2.58804822
85800,3.659810781
86000,3.092630148
86200,2.831732988
86400,1.847969174
86600,1.782832384
86800,2.102095842
87000,5.893297672
87200,5.149400711
87400,5.278194427
87600,3.190513372
87800,3.124345779
88000,2.313380718
88200,1.916415572
88400,1.431092143
88600,1.616367459
88800,-1.152596116
89000,-1.725490808
89200,-1.258924007
89400,-0.810683727
89600,2.49829483
89800,4.699905396
90000,4.964045525
90200,4.515372753
90400,1.267115593
90600,1.264887333
90800,0.00793807
91000,3.020750523
91200,2.041538477
91400,3.088268995
91600,4.408295155
91800,2.60584569
92000,2.778719425
92200,1.434094429
